sample	age	celltype	class	metric	median	control_subject	control_age
5652	1.5	Glu	Female_control	total_mCH_level	0.01810237077	1275	2.16
5652	1.5	Glu	Male_control	total_mCH_level	0.02493529181	4425	1.02
5652	1.5	Glu	Female_control	mCG_fraction	0.7288682945	1275	2.16
5652	1.5	Glu	Male_control	mCG_fraction	0.8608701543	4425	1.02
5652	1.5	Glu	Female_control	mCG_only_fraction	0.5976915281	1275	2.16
5652	1.5	Glu	Male_control	mCG_only_fraction	0.6586959827	4425	1.02
5652	1.5	Glu	Female_control	hmCG_fraction	0.1311767664	1275	2.16
5652	1.5	Glu	Male_control	hmCG_fraction	0.2021741716	4425	1.02
5652	1.5	GABA	Female_control	total_mCH_level	0.02120344473	1275	2.16
5652	1.5	GABA	Male_control	total_mCH_level	0.03242241855	4425	1.02
5652	1.5	GABA	Female_control	mCG_fraction	0.7258356509	1275	2.16
5652	1.5	GABA	Male_control	mCG_fraction	0.8847849724	4425	1.02
5652	1.5	GABA	Female_control	mCG_only_fraction	0.633593071	1275	2.16
5652	1.5	GABA	Male_control	mCG_only_fraction	0.7257125844	4425	1.02
5652	1.5	GABA	Female_control	hmCG_fraction	0.09224257991	1275	2.16
5652	1.5	GABA	Male_control	hmCG_fraction	0.159072388	4425	1.02
5977	6	Glu	Female_control	total_mCH_level	0.02523162278	5977	6.68
5977	6	Glu	Male_control	total_mCH_level	0.03854733571	4332	5.67
5977	6	Glu	Female_control	mCG_fraction	0.7413646472	5977	6.68
5977	6	Glu	Male_control	mCG_fraction	0.8702740037	4332	5.67
5977	6	Glu	Female_control	mCG_only_fraction	0.5798294557	5977	6.68
5977	6	Glu	Male_control	mCG_only_fraction	0.5995448166	4332	5.67
5977	6	Glu	Female_control	hmCG_fraction	0.1615351915	5977	6.68
5977	6	Glu	Male_control	hmCG_fraction	0.270729187	4332	5.67
5977	6	GABA	Female_control	total_mCH_level	0.02719970891	5977	6.68
5977	6	GABA	Male_control	total_mCH_level	0.05382696578	4332	5.67
5977	6	GABA	Female_control	mCG_fraction	0.7346092864	5977	6.68
5977	6	GABA	Male_control	mCG_fraction	0.8981437101	4332	5.67
5977	6	GABA	Female_control	mCG_only_fraction	0.615373706	5977	6.68
5977	6	GABA	Male_control	mCG_only_fraction	0.6848364631	4332	5.67
5977	6	GABA	Female_control	hmCG_fraction	0.1192355804	5977	6.68
5977	6	GABA	Male_control	hmCG_fraction	0.213307247	4332	5.67
